protein_id	descriptor_id	status	value	unit	sequence_sha256	observation_id
UniProtKB:A1ZB29	proteintraitsmech:B01	OK	-0.05730059915213348	e	bf1ed8a3fcd4c18e58888815bfd740519681fc01ccace8f65722bc742c0f0cdf	ptm-observation:53a287ad88189acbdd1312b3e480097145bec060922d25dfa3729d98fd2e0841
UniProtKB:A1ZB29	proteintraitsmech:B02	OK	6.9676215052604675	pH	bf1ed8a3fcd4c18e58888815bfd740519681fc01ccace8f65722bc742c0f0cdf	ptm-observation:954767ed1b2a6e153acf502fc5a6c1ff5ba84c4a42c5921700b4a8f7e429e952
UniProtKB:A1ZB29	proteintraitsmech:B03	OK	0.12796208530805686	1	bf1ed8a3fcd4c18e58888815bfd740519681fc01ccace8f65722bc742c0f0cdf	ptm-observation:8c5a0b6c2feb67b7568e19c7f69ec192d8db4da26c7156564a9555f3a612a954
UniProtKB:A1ZB29	proteintraitsmech:B04	OK	0.12796208530805686	1	bf1ed8a3fcd4c18e58888815bfd740519681fc01ccace8f65722bc742c0f0cdf	ptm-observation:0881df247af5325aa7818d975628f2d6d06a5d0ed64d48e1dab22c9a29f7db61
UniProtKB:A1ZB29	proteintraitsmech:B05	OK	0.2559241706161137	1	bf1ed8a3fcd4c18e58888815bfd740519681fc01ccace8f65722bc742c0f0cdf	ptm-observation:264a4734db3be018839ef0cd43481d745c3866f988b91dbba8c2de5d3ca9482e
UniProtKB:A1ZB29	proteintraitsmech:B06	OK	-0.6179270433031714	1	bf1ed8a3fcd4c18e58888815bfd740519681fc01ccace8f65722bc742c0f0cdf	ptm-observation:bb5750a2a5561f441fc2abfe9be2c92c1602c008b36e15b6787c17176914e81b
UniProtKB:A1ZB29	proteintraitsmech:B08	OK	-0.38672985781990526	1	bf1ed8a3fcd4c18e58888815bfd740519681fc01ccace8f65722bc742c0f0cdf	ptm-observation:04e3d01c5a60e4fc5bafe66e85f478ac22e6093574f11ca947edce51950c3724
UniProtKB:A1ZB29	proteintraitsmech:B09	OK		1	bf1ed8a3fcd4c18e58888815bfd740519681fc01ccace8f65722bc742c0f0cdf	ptm-observation:e96fa5b221d9ef975d5547e17eb5a4972a4d1eef1df7571260ffe0e36d9272fa
UniProtKB:A1ZB29	proteintraitsmech:B10	OK		1	bf1ed8a3fcd4c18e58888815bfd740519681fc01ccace8f65722bc742c0f0cdf	ptm-observation:5b8cee7e282204612d472e40322b301aad8a52664352a8d7968741c3d29ac09e
UniProtKB:A1ZB29	proteintraitsmech:B13	OK		1	bf1ed8a3fcd4c18e58888815bfd740519681fc01ccace8f65722bc742c0f0cdf	ptm-observation:b9e44fa80547f48825024e0cb6e432dd32c9cc71f5bc4ceaccccc5f75eeda4be
UniProtKB:A1ZB29	proteintraitsmech:B16	OK	4.147857986374428	bit	bf1ed8a3fcd4c18e58888815bfd740519681fc01ccace8f65722bc742c0f0cdf	ptm-observation:d8db2881fc3282cfbcf870389a340e50fe946eab4e17cd6943876364ff9f39ca
UniProtKB:A1ZB29	proteintraitsmech:B22	NOT_AVAILABLE		1	bf1ed8a3fcd4c18e58888815bfd740519681fc01ccace8f65722bc742c0f0cdf	ptm-observation:28ee4947e99b32a10c6fe2e4d7010e231e307204233a4712f791827797313e0e
